Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,PR_PagePerSec,LogPageValues,Bounce_x_Exit,HighValueVisit,TotalPages,TotalPages_Bin,IsHolidaySeason,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep
6,70.58,0,0.0,15,296.58,0.0,0.028571429,0.0,0.0,2,4,1,3,2.0,0,0.050406613347671214,0.0,0.0,0,21,2,1,0,0,0,0,0,0,1,0,0
0,0.0,0,0.0,8,97.0,0.0,0.025,0.0,0.0,2,2,3,2,2.0,0,0.08163265306122448,0.0,0.0,0,8,1,1,0,0,0,0,0,0,1,0,0
0,0.0,0,0.0,11,1055.5,0.018181818,0.042424242,0.0,0.0,2,2,8,18,2.0,0,0.010411736867013724,0.0,0.000771349846831956,0,11,1,0,0,0,0,0,0,1,0,0,0
9,208.4,0,0.0,13,177.7333333,0.0,0.03125,0.0,0.0,1,1,8,4,2.0,0,0.07273405447085678,0.0,0.0,0,22,2,0,0,0,0,0,0,1,0,0,0
2,43.73333333,0,0.0,19,158.9333333,0.0,0.003741497,0.0,0.0,1,1,6,2,2.0,0,0.11879949981634005,0.0,0.0,0,21,2,0,0,0,0,1,0,0,0,0,0
0,0.0,0,0.0,2,242.5,0.0,0.05,0.0,0.0,8,13,9,20,0.0,0,0.008213552361396304,0.0,0.0,0,2,0,1,1,0,0,0,0,0,0,0,0
1,0.0,2,10.0,69,1310.636905,0.010869565,0.032793149,0.0,0.0,2,3,1,3,2.0,1,0.05260602209115182,0.0,0.00035644726461018497,0,72,3,1,0,0,0,0,0,0,1,0,0
1,585.5,0,0.0,80,3634.141512,0.004320988,0.007864356,26.41113767,0.0,3,2,2,2,2.0,0,0.022007396338192403,3.310949415108229,3.3981787903728e-05,1,81,3,1,0,0,0,0,0,0,1,0,0
13,234.5666667,0,0.0,80,1807.227778,0.016091954,0.0348659,4.192980384,0.0,4,2,3,13,2.0,0,0.04424221382578495,1.6473077874624036,0.0005610604589685999,1,93,3,0,0,0,1,0,0,0,0,0,0
8,264.8095238,0,0.0,35,1039.887446,0.009756098,0.035656214,0.0,0.0,2,2,3,2,2.0,0,0.03362515335783962,0.0,0.00034786551809297194,0,43,2,1,1,0,0,0,0,0,0,0,0
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,3,2,1,1,2.0,1,2.0,0.0,0.04000000000000001,0,2,0,0,0,0,0,0,0,1,0,0,0
4,92.0,0,0.0,19,473.0,0.0,0.004545455,0.0,0.0,3,2,3,1,2.0,0,0.04008438818565401,0.0,0.0,0,23,2,0,0,0,0,0,0,1,0,0,0
0,0.0,0,0.0,27,1871.9,0.014814815,0.020740741,0.0,0.0,1,1,1,3,2.0,0,0.014416146083613647,0.0,0.000307270240877915,0,27,2,0,0,0,0,0,0,0,0,0,1
7,190.5833333,2,1131.0,46,5492.366667,0.019090909,0.043948052,8.567142857,0.0,2,6,6,6,2.0,0,0.008373735595756474,2.2583346088517136,0.000839008261459268,1,55,3,0,0,0,0,0,0,1,0,0,0
11,771.9285714,2,214.1666667,39,1022.474026,0.000833333,0.012361111,52.05165,0.0,3,2,1,2,2.0,0,0.03810551026138107,3.9712659673095825,1.0300921712963e-05,1,52,3,0,0,0,0,0,0,1,0,0,0
1,28.53333333,0,0.0,61,2006.688158,0.003278689,0.015460019,2.039270228,0.0,2,5,3,2,2.0,0,0.030383204561392846,1.1116174300209902,5.0688594235091e-05,1,62,3,0,0,0,0,0,0,0,0,0,0
2,78.0,0,0.0,22,325.0,0.0,0.007246377,19.10349568,0.0,4,1,3,1,2.0,1,0.06748466257668712,3.00089371437153,0.0,1,24,2,1,1,0,0,0,0,0,0,0,0
4,72.5,0,0.0,95,2354.979058,0.00137457,0.005695387,5.214690992,0.0,3,2,1,2,2.0,1,0.040322939067483,1.8269160040162307,7.82870810859e-06,1,99,3,1,1,0,0,0,0,0,0,0,0
2,77.0,0,0.0,43,1607.297619,0.002272727,0.015909091,0.0,0.0,2,2,1,2,2.0,0,0.02673634499734965,0.0,3.6157020661157e-05,0,45,2,0,0,0,0,0,1,0,0,0,0
11,385.5666667,0,0.0,54,1256.293333,0.010344828,0.014367816,0.0,0.0,2,2,7,3,2.0,0,0.04294940455235834,0.0,0.000148632585255648,0,65,3,0,0,0,0,0,0,0,0,1,0
1,27.5,0,0.0,20,922.7083333,0.0,0.00952381,103.1402899,0.0,2,2,6,2,1.0,0,0.02165185619636977,4.645738931483519,0.0,1,21,2,1,1,0,0,0,0,0,0,0,0
1,0.0,0,0.0,28,219.8,0.0,0.037931034,0.0,0.0,2,2,1,1,2.0,1,0.12681159420289853,0.0,0.0,0,29,2,1,0,0,0,0,0,0,1,0,0
0,0.0,1,81.0,82,3214.020563,0.0,0.007723577,4.667079268,0.0,3,3,2,10,2.0,0,0.025505280104175805,1.7346738647374413,0.0,1,83,3,0,0,0,0,0,1,0,0,0,0
0,0.0,0,0.0,13,421.1666667,0.0,0.028205128,0.0,0.8,1,1,1,2,2.0,0,0.030793525461445436,0.0,0.0,0,13,1,0,0,0,0,0,0,1,0,0,0
0,0.0,0,0.0,8,184.375,0.0,0.013333333,0.0,0.0,1,2,9,2,2.0,0,0.04315576534052596,0.0,0.0,0,8,1,1,0,0,0,0,0,0,1,0,0
0,0.0,0,0.0,6,30.0,0.183333333,0.188888889,0.0,0.8,3,2,6,1,2.0,0,0.1935483870967742,0.0,0.03462962958703703,0,6,1,0,0,0,0,0,0,1,0,0,0
13,331.9833333,5,128.0,202,8217.678753,0.001904762,0.013668745,3.651726351,0.0,2,2,3,10,2.0,1,0.02457815983210994,1.5372384089795323,2.6035706063689998e-05,1,220,3,1,0,0,0,0,0,0,1,0,0
1,4.0,0,0.0,6,102.0,0.0,0.057142857,0.0,0.0,2,2,1,3,1.0,0,0.05825242718446602,0.0,0.0,0,7,1,0,0,0,0,0,0,1,0,0,0
1,3.0,0,0.0,5,151.0,0.0,0.016666667,0.0,0.0,1,1,1,2,2.0,0,0.03289473684210526,0.0,0.0,0,6,1,0,0,0,0,0,0,1,0,0,0
1,36.0,0,0.0,19,1661.75,0.0,0.023529412,0.0,0.0,2,2,3,1,2.0,0,0.011426853104796271,0.0,0.0,0,20,1,0,0,0,0,0,0,1,0,0,0
